date,Byproduct,Gross farm value,Net farm value,Wholesale value,Retail value,Total,Farm-wholesale,Wholesale-retail
,,,,,,,,
1/1/1970,6.0,67.4,61.4,75.9,98.5,37.1,14.5,22.6
2/1/1970,6.4,69.8,63.4,75.6,98.3,34.9,12.2,22.7
3/1/1970,6.5,74.0,67.5,79.9,100.6,33.1,12.4,20.7
4/1/1970,6.5,73.4,66.9,79.2,101.1,34.2,12.3,21.9
5/1/1970,6.2,70.9,64.7,76.6,100.7,36.0,11.9,24.1
6/1/1970,6.0,72.5,66.5,78.2,99.8,33.3,11.7,21.6
7/1/1970,5.9,74.1,68.2,81.5,102.0,33.8,13.3,20.5
8/1/1970,6.0,71.7,65.7,79.1,101.7,36.0,13.4,22.6
9/1/1970,6.0,70.4,64.4,76.8,100.2,35.8,12.4,23.4
10/1/1970,6.1,69.1,63.0,74.6,99.3,36.3,11.6,24.7
11/1/1970,5.8,65.6,59.8,73.1,99.1,39.3,13.3,26.0
12/1/1970,5.3,64.1,58.8,71.5,98.0,39.2,12.7,26.5
1/1/1971,5.1,68.1,63.0,78.9,98.8,35.8,15.9,19.9
2/1/1971,5.9,76.1,70.2,84.0,102.9,32.7,13.8,18.9
3/1/1971,6.0,75.5,69.5,83.2,104.0,34.5,13.7,20.8
4/1/1971,6.1,76.9,70.8,85.2,105.8,35.0,14.4,20.6
5/1/1971,6.1,77.7,71.6,87.2,106.8,35.2,15.6,19.6
6/1/1971,6.0,76.7,70.7,85.2,107.6,36.9,14.5,22.4
7/1/1971,5.9,76.7,70.8,84.9,106.8,36.0,14.1,21.9
8/1/1971,5.9,78.4,72.5,87.0,107.7,35.2,14.5,20.7
9/1/1971,6.0,77.1,71.1,85.2,108.0,36.9,14.1,22.8
10/1/1971,6.0,76.5,70.5,83.6,107.2,36.7,13.1,23.6
11/1/1971,6.1,79.4,73.3,87.3,108.5,35.2,14.0,21.2
12/1/1971,6.2,81.0,74.8,90.4,110.8,36.0,15.6,20.4
1/1/1972,6.6,84.1,77.5,93.0,114.0,36.5,15.5,21.0
2/1/1972,7.0,85.4,78.4,93.1,118.4,40.0,14.7,25.3
3/1/1972,8.1,83.3,75.2,89.2,118.5,43.3,14.0,29.3
