WasdeNumber,ReportDate,ReportTitle,Attribute,ReliabilityProjection,Commodity,Region,MarketYear,ProjEstFlag,AnnualQuarterFlag,Value,Unit,ReleaseDate,ReleaseTime,ForecastYear,ForecastMonth
618,November 2021,World and U.S Supply and Use for Grains,Output,,Total Grains,World,2019/20,,Annual,2677.42,Million Metric Tons,11/09/2021,12:00:00,2021,11
618,November 2021,World and U.S Supply and Use for Grains,Total Supply,,Total Grains,World,2019/20,,Annual,3486.39,Million Metric Tons,11/09/2021,12:00:00,2021,11
618,November 2021,World and U.S Supply and Use for Grains,Trade,,Total Grains,World,2019/20,,Annual,448.48,Million Metric Tons,11/09/2021,12:00:00,2021,11
618,November 2021,World and U.S Supply and Use for Grains,Total Use,,Total Grains,World,2019/20,,Annual,2672.16,Million Metric Tons,11/09/2021,12:00:00,2021,11
618,November 2021,World and U.S Supply and Use for Grains,Ending Stocks,,Total Grains,World,2019/20,,Annual,814.23,Million Metric Tons,11/09/2021,12:00:00,2021,11
618,November 2021,World and U.S Supply and Use for Grains,Output,,Total Grains,World,2020/21,(Est.),Annual,2712.40,Million Metric Tons,11/09/2021,12:00:00,2021,11
618,November 2021,World and U.S Supply and Use for Grains,Total Supply,,Total Grains,World,2020/21,(Est.),Annual,3526.63,Million Metric Tons,11/09/2021,12:00:00,2021,11
618,November 2021,World and U.S Supply and Use for Grains,Trade,,Total Grains,World,2020/21,(Est.),Annual,478.45,Million Metric Tons,11/09/2021,12:00:00,2021,11
618,November 2021,World and U.S Supply and Use for Grains,Total Use,,Total Grains,World,2020/21,(Est.),Annual,2729.90,Million Metric Tons,11/09/2021,12:00:00,2021,11
618,November 2021,World and U.S Supply and Use for Grains,Ending Stocks,,Total Grains,World,2020/21,(Est.),Annual,796.73,Million Metric Tons,11/09/2021,12:00:00,2021,11
618,November 2021,World and U.S Supply and Use for Grains,Output,,Total Grains,World,2021/22,(Proj.),Annual,2786.00,Million Metric Tons,11/09/2021,12:00:00,2021,11
