"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2021/22","Est.","Annual","1053.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2021/22","Est.","Annual","4547.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2021/22","Est.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2021/22","Est.","Annual","1794.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2021/22","Est.","Annual","50.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2021/22","Est.","Annual","6185.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2022/23","Proj.","Annual","4547.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2022/23","Proj.","Annual","1503.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2022/23","Proj.","Annual","50.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2022/23","Proj.","Annual","6000.00","1000 Metric Tons, Actual Weight","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","11.20","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","26.00","Years","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.00","Percent","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","39.20","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.80","Percent","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual","1.10","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","8.00","Years","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","15.40","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","33.00","Years","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","28.00","Percent","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","154.80","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","16.60","Percent","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".20","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","14.00","Years","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Exports","average","Coarse Grain","Foreign","","","Annual","7.60","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","27.00","Years","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","23.30","Percent","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Exports","largest","Coarse Grain","Foreign","","","Annual","19.90","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Exports","root_mean_square_error","Coarse Grain","Foreign","","","Annual","13.90","Percent","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Exports","smallest","Coarse Grain","Foreign","","","Annual","1.40","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Production","above_final","Coarse Grain","Foreign","","","Annual","13.00","Years","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Production","average","Coarse Grain","Foreign","","","Annual","14.80","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Production","below_final","Coarse Grain","Foreign","","","Annual","28.00","Years","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Production","confidence_interval","Coarse Grain","Foreign","","","Annual","4.20","Percent","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Production","largest","Coarse Grain","Foreign","","","Annual","58.40","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Production","root_mean_square_error","Coarse Grain","Foreign","","","Annual","2.50","Percent","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Production","smallest","Coarse Grain","Foreign","","","Annual",".70","Million Metric Tons","2022-08-12","12:00:00.0000000","2022","8"
"627","August 2022","Reliability of August Projections","Domestic Use","above_final","Cotton","Foreign","","","Annual","24.00","Years","2022-08-12","12:00:00.0000000","2022","8"
