"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2021/22","Est.","Annual","1053.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2021/22","Est.","Annual","4547.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2021/22","Est.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2021/22","Est.","Annual","1794.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2021/22","Est.","Annual","50.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2021/22","Est.","Annual","6185.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2022/23","Proj.","Annual","4547.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","947.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2022/23","Proj.","Annual","1503.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2022/23","Proj.","Annual","50.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2022/23","Proj.","Annual","6000.00","1000 Metric Tons, Actual Weight","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Reliability of September Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Reliability of September Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","10.60","Million Metric Tons","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Reliability of September Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","26.00","Years","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Reliability of September Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","2.90","Percent","2022-09-12","12:00:00.0000000","2022","9"
"628","September 2022","Reliability of September Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","37.80","Million Metric Tons","2022-09-12","12:00:00.0000000","2022","9"
