Date,Beef,Veal,Pork,Lamb,Total Red Meat,Broilers,Other Chicken,Turkey,Total Poultry,Total Red Meat and Poultry
23-Feb,"2,059.30",3.7,"2,148.30",9.3,"4,220.60","3,580.70",43.2,418.9,"4,054.10","8,274.70"
23-Jan,"2,287.40",4.3,"2,415.50",9.2,"4,716.40","3,971.90",46.5,445.2,"4,476.10","9,192.50"
22-Dec,"2,193.70",4.4,"2,220.40",9.8,"4,428.40","3,851.60",46,414.2,"4,324.40","8,752.80"
22-Nov,"2,387.60",4.4,"2,340.70",10,"4,742.80","3,940.90",45.4,428.2,"4,426.20","9,169.00"
22-Oct,"2,363.10",4.4,"2,326.40",9,"4,702.90","4,068.50",48.2,467.3,"4,596.40","9,299.30"
22-Sep,"2,350.60",4.2,"2,247.70",9.6,"4,612.00","4,000.50",50.7,420.6,"4,483.60","9,095.60"
22-Aug,"2,466.80",4.5,"2,291.10",10.3,"4,772.80","4,211.00",55.3,449.2,"4,727.40","9,500.20"
22-Jul,"2,214.40",4,"1,960.50",8.9,"4,187.80","3,684.80",45.7,393.9,"4,134.40","8,322.20"
22-Jun,"2,415.10",4.5,"2,245.10",10.2,"4,674.80","3,934.90",52.4,442.3,"4,440.90","9,115.70"
22-May,"2,250.10",4.3,"2,171.90",9.6,"4,435.90","3,778.90",47.4,412.8,"4,249.40","8,685.30"
22-Apr,"2,289.10",4.4,"2,192.00",10.8,"4,496.30","3,564.90",43.5,420.3,"4,040.70","8,537.00"
22-Mar,"2,464.60",4.8,"2,445.30",11.2,"4,925.90","3,995.00",49.5,507.8,"4,565.10","9,491.00"
22-Feb,"2,214.10",4.1,"2,158.90",8.1,"4,385.30","3,484.50",42.6,422.9,"3,960.90","8,346.20"
22-Jan,"2,228.80",4.5,"2,270.60",8.9,"4,512.70","3,690.30",42.6,443,"4,187.60","8,700.30"
21-Dec,"2,326.80",5.1,"2,393.80",10.5,"4,736.20","3,700.10",44.7,427.6,"4,183.90","8,920.10"
21-Nov,"2,342.80",4.5,"2,397.90",10.9,"4,756.10","3,665.30",40.6,453.3,"4,170.10","8,926.20"
21-Oct,"2,324.90",4.4,"2,360.00",10.1,"4,699.50","3,827.80",44.3,485.5,"4,369.50","9,069.00"
21-Sep,"2,259.70",4.3,"2,253.60",9.2,"4,526.90","3,928.50",45.8,470.5,"4,455.80","8,982.70"
21-Aug,"2,324.00",4.2,"2,201.20",8.8,"4,538.10","3,902.00",47,474.2,"4,434.10","8,972.20"
21-Jul,"2,284.60",3.8,"2,039.40",9.2,"4,337.00","3,750.40",48,458.6,"4,267.30","8,604.30"
21-Jun,"2,360.00",4,"2,243.90",9.9,"4,617.90","3,923.60",50.3,487.5,"4,472.10","9,090.00"
21-May,"2,173.20",3.5,"2,059.90",9.6,"4,246.30","3,611.60",44.9,451,"4,117.30","8,363.60"
21-Apr,"2,307.30",4.1,"2,332.90",12,"4,656.30","3,696.70",44.8,460.6,"4,211.90","8,868.20"
21-Mar,"2,438.80",4.7,"2,536.40",12.7,"4,992.70","4,009.50",46.3,521.9,"4,588.10","9,580.80"
21-Feb,"2,070.70",4.6,"2,255.20",9.7,"4,340.20","3,270.80",39.8,420.6,"3,740.40","8,080.60"
21-Jan,"2,271.80",4.5,"2,466.20",9.4,"4,751.90","3,613.00",40.8,447.1,"4,110.90","8,862.80"
20-Dec,"2,291.80",5.5,"2,499.30",10.7,"4,807.30","3,720.20",42.5,470.3,"4,243.40","9,050.70"
20-Nov,"2,232.30",4.7,"2,395.10",9.3,"4,641.50","3,478.10",40,458.1,"3,985.00","8,626.50"
20-Oct,"2,431.90",5.2,"2,585.80",9.2,"5,032.10","3,848.90",49,522.8,"4,429.90","9,462.00"
20-Sep,"2,315.30",4.7,"2,322.50",9.4,"4,652.00","3,878.40",48.5,473.8,"4,409.40","9,061.40"
20-Aug,"2,298.00",4.8,"2,326.80",9.5,"4,639.00","3,733.90",48.1,474.9,"4,265.90","8,904.90"
20-Jul,"2,384.50",5.6,"2,358.30",10.6,"4,759.00","3,745.80",49.7,505.1,"4,308.10","9,067.10"
20-Jun,"2,334.70",5.4,"2,386.10",11.3,"4,737.40","3,780.00",46.5,500.7,"4,334.70","9,072.10"
20-May,"1,827.60",5,"1,865.40",11.3,"3,709.30","3,560.10",43.7,427.5,"4,039.70","7,749.00"
