Entity,Code,Year,cost_healthy_diet
Albania,ALB,2017,3.952
Albania,ALB,2018,4.051
Albania,ALB,2019,4.117
Albania,ALB,2020,4.197
Algeria,DZA,2017,3.763
Algeria,DZA,2018,3.822
Algeria,DZA,2019,3.796
Algeria,DZA,2020,3.76
Angola,AGO,2017,4.327
Angola,AGO,2018,4.293
Angola,AGO,2019,4.352
Angola,AGO,2020,4.534
Anguilla,AIA,2017,3.717
Antigua and Barbuda,ATG,2017,4.112
Antigua and Barbuda,ATG,2018,4.302
Antigua and Barbuda,ATG,2019,4.391
Antigua and Barbuda,ATG,2020,4.504
Argentina,ARG,2017,3.341
Armenia,ARM,2017,3.096
Armenia,ARM,2018,3.166
Armenia,ARM,2019,3.237
Armenia,ARM,2020,3.247
Aruba,ABW,2017,3.418
Aruba,ABW,2018,3.62
Aruba,ABW,2019,3.907
Aruba,ABW,2020,4.138
Australia,AUS,2017,2.259
Australia,AUS,2018,2.273
Australia,AUS,2019,2.325
Australia,AUS,2020,2.561
Austria,AUT,2017,2.772
Austria,AUT,2018,2.848
Austria,AUT,2019,2.818
Austria,AUT,2020,2.981
Azerbaijan,AZE,2017,2.348
Azerbaijan,AZE,2018,2.399
Azerbaijan,AZE,2019,2.459
Azerbaijan,AZE,2020,2.533
Bahamas,BHS,2017,4.276
Bahamas,BHS,2018,4.387
Bahamas,BHS,2019,4.364
Bahamas,BHS,2020,4.488
Bahrain,BHR,2017,3.379
Bahrain,BHR,2018,3.463
Bahrain,BHR,2019,3.573
Bahrain,BHR,2020,3.835
Bangladesh,BGD,2017,2.882
Bangladesh,BGD,2018,2.971
Bangladesh,BGD,2019,3.024
Bangladesh,BGD,2020,3.064
Belarus,BLR,2017,3.177
Belarus,BLR,2018,3.228
Belarus,BLR,2019,3.31
Belarus,BLR,2020,3.31
Belgium,BEL,2017,2.862
Belgium,BEL,2018,2.962
Belgium,BEL,2019,2.943
Belgium,BEL,2020,3.13
Belize,BLZ,2017,2.476
Belize,BLZ,2018,2.321
Belize,BLZ,2019,2.221
Belize,BLZ,2020,2.14
Benin,BEN,2017,3.55
Benin,BEN,2018,3.67
Benin,BEN,2019,3.664
Benin,BEN,2020,3.707
Bermuda,BMU,2017,4.072
Bermuda,BMU,2018,3.842
Bermuda,BMU,2019,3.788
Bermuda,BMU,2020,3.616
Bhutan,BTN,2017,4.383
Bhutan,BTN,2018,4.587
Bhutan,BTN,2019,4.712
Bhutan,BTN,2020,5.029
Bolivia,BOL,2017,3.551
Bolivia,BOL,2018,3.648
Bolivia,BOL,2019,3.769
Bolivia,BOL,2020,3.755
Bosnia and Herzegovina,BIH,2017,3.847
Bosnia and Herzegovina,BIH,2018,3.89
Bosnia and Herzegovina,BIH,2019,3.895
Bosnia and Herzegovina,BIH,2020,3.995
Botswana,BWA,2017,3.622
Botswana,BWA,2018,3.575
Botswana,BWA,2019,3.591
Botswana,BWA,2020,3.701
Brazil,BRA,2017,2.809
Brazil,BRA,2018,2.8
Brazil,BRA,2019,2.882
Brazil,BRA,2020,3.084
British Virgin Islands,VGB,2017,3.235
British Virgin Islands,VGB,2018,3.153
British Virgin Islands,VGB,2019,3.313
British Virgin Islands,VGB,2020,3.337
Brunei,BRN,2017,4.126
Brunei,BRN,2018,4.263
Brunei,BRN,2019,4.327
Brunei,BRN,2020,4.405
Bulgaria,BGR,2017,3.78
Bulgaria,BGR,2018,3.859
Bulgaria,BGR,2019,3.896
Bulgaria,BGR,2020,4.108
Burkina Faso,BFA,2017,3.173
Burkina Faso,BFA,2018,3.296
Burkina Faso,BFA,2019,3.24
Burkina Faso,BFA,2020,3.345
Burundi,BDI,2017,2.988
Burundi,BDI,2018,2.804
Burundi,BDI,2019,2.783
Burundi,BDI,2020,2.943
Cabo Verde,,2017,3.358
Cabo Verde,,2018,3.413
Cabo Verde,,2019,3.484
Cabo Verde,,2020,3.563
Cambodia,KHM,2017,3.618
Cambodia,KHM,2018,3.706
Cambodia,KHM,2019,3.778
Cambodia,KHM,2020,3.888
Cameroon,CMR,2017,2.616
Cameroon,CMR,2018,2.684
Cameroon,CMR,2019,2.744
Cameroon,CMR,2020,2.808
Canada,CAN,2017,2.863
Canada,CAN,2018,2.911
Canada,CAN,2019,2.918
Canada,CAN,2020,3.008
Cayman Islands,CYM,2017,2.928
Cayman Islands,CYM,2018,2.874
Cayman Islands,CYM,2019,2.714
Cayman Islands,CYM,2020,2.765
Central African Republic,CAF,2017,3.423
Central African Republic,CAF,2018,3.507
Central African Republic,CAF,2019,3.57
Central African Republic,CAF,2020,3.615
Chad,TCD,2017,2.831
Chad,TCD,2018,2.728
Chad,TCD,2019,2.659
Chad,TCD,2020,2.821
Chile,CHL,2017,3.053
Chile,CHL,2018,3.18
Chile,CHL,2019,3.213
Chile,CHL,2020,3.402
China,CHN,2017,2.571
China,CHN,2018,2.63
China,CHN,2019,2.792
China,CHN,2020,2.983
Colombia,COL,2017,2.863
Colombia,COL,2018,2.893
Colombia,COL,2019,2.93
Colombia,COL,2020,3.065
Congo,COG,2017,3.343
Congo,COG,2018,3.385
Congo,COG,2019,3.365
Congo,COG,2020,3.422
Costa Rica,CRI,2017,3.961
Costa Rica,CRI,2018,4
Costa Rica,CRI,2019,4.041
Costa Rica,CRI,2020,4.11
