date,Net farm value,Wholesale value,Retail value
1/1/2000,146.0,177.5,294.7
2/1/2000,146.5,174.5,293.6
3/1/2000,154.2,183.3,297.9
4/1/2000,158.9,191.0,305.4
5/1/2000,153.2,193.8,308.8
6/1/2000,149.2,190.7,311.5
7/1/2000,144.7,179.6,310.0
8/1/2000,138.5,172.6,309.9
9/1/2000,136.6,168.6,313.0
10/1/2000,143.6,174.4,311.8
11/1/2000,152.4,182.8,310.3
12/1/2000,163.5,197.6,310.1
1/1/2001,167.7,202.5,321.4
2/1/2001,171.0,201.5,334.2
3/1/2001,170.0,202.7,334.3
4/1/2001,164.8,201.7,343.2
5/1/2001,159.7,204.3,343.8
6/1/2001,157.7,198.3,347.6
7/1/2001,150.7,185.9,345.4
8/1/2001,148.7,188.1,339.3
9/1/2001,146.9,186.6,337.6
10/1/2001,142.3,180.4,338.0
11/1/2001,136.3,174.3,337.6
12/1/2001,137.8,177.3,330.3
1/1/2002,145.4,175.2,330.8
2/1/2002,155.1,188.2,330.5
3/1/2002,155.6,188.6,329.8
4/1/2002,145.6,182.8,333.5
5/1/2002,141.4,180.7,333.5
6/1/2002,138.6,178.7,330.0
7/1/2002,135.4,172.4,328.9
8/1/2002,134.9,174.0,334.5
9/1/2002,139.2,175.4,329.4
10/1/2002,139.5,175.2,325.8
11/1/2002,150.4,182.2,334.0
12/1/2002,156.6,191.1,337.8
1/1/2003,168.3,200.4,339.7
2/1/2003,172.9,200.8,348.0
3/1/2003,166.4,197.1,356.8
4/1/2003,171.0,207.2,364.8
5/1/2003,172.4,219.9,361.4
6/1/2003,166.8,219.4,365.6
7/1/2003,163.7,202.8,365.4
8/1/2003,173.4,217.6,373.5
9/1/2003,191.2,242.6,370.9
10/1/2003,216.0,271.5,393.3
11/1/2003,217.2,257.4,431.7
12/1/2003,196.1,237.0,424.3
1/1/2004,172.1,212.8,400.5
2/1/2004,169.4,198.5,398.9
3/1/2004,185.3,218.2,397.1
4/1/2004,187.6,244.1,405.7
5/1/2004,192.0,241.3,405.5
6/1/2004,194.0,229.6,417.3
7/1/2004,182.3,216.3,417.9
8/1/2004,182.1,213.9,411.3
9/1/2004,178.5,207.5,408.2
10/1/2004,184.9,212.7,402.1
11/1/2004,186.9,208.5,405.7
12/1/2004,190.2,222.9,408.1
1/1/2005,196.2,231.4,408.5
2/1/2005,193.7,222.4,412.8
3/1/2005,198.8,233.6,421.4
4/1/2005,201.3,243.4,425.5
5/1/2005,195.3,242.9,426.1
6/1/2005,182.3,217.5,418.4
7/1/2005,173.7,204.5,399.3
8/1/2005,174.9,207.1,399.2
9/1/2005,184.2,214.7,392.4
10/1/2005,191.9,224.3,397.6
11/1/2005,197.8,231.0,401.9
12/1/2005,211.8,244.2,406.0
1/1/2006,207.1,241.3,406.9
2/1/2006,196.3,232.4,405.9
3/1/2006,187.8,226.4,401.1
4/1/2006,178.9,220.8,402.0
5/1/2006,173.2,229.3,395.1
