Year,Month,Trucking Cost Index
2018,1,202.0
2018,2,204.5
2018,3,200.5
2018,4,207.6
2018,5,217.75
2018,6,218.25
2018,7,217.0
2018,8,216.0
2018,9,219.6
2018,10,226.75
2018,11,221.5
2018,12,209.6
2019,1,200.0
2019,2,201.25
2019,3,206.6
2019,4,210.25
2019,5,212.0
2019,6,206.4
2019,7,204.5
2019,8,201.5
2019,9,202.4
2019,10,205.0
2019,11,206.0
2019,12,205.0
2020,1,204.75
2020,2,195.0
2020,3,183.0
2020,4,167.25
2020,5,160.4
2020,6,162.0
2020,7,163.5
2020,8,163.2
2020,9,162.0
2020,10,160.25
2020,11,163.2
2020,12,173.75
2021,1,180.6
2021,2,196.75
2021,3,212.75
2021,4,210.25
2021,5,215.8
2021,6,220.75
2021,7,224.0
2021,8,224.8
2021,9,227.0
2021,10,243.8
2021,11,250.25
2021,12,244.5
2022,1,249.8
2022,2,270.5
2022,3,342.5
2022,4,343.25
2022,5,374.0
2022,6,386.25
2022,7,363.8
2022,8,334.25
2022,9,335.0
2022,10,349.8
2022,11,352.75
2022,12,316.0
