Year,Month,Grain Moved (000) tons
2018,1,808
2018,2,818
2018,3,802
2018,4,1038
2018,5,871
2018,6,873
2018,7,1085
2018,8,864
2018,9,1098
2018,10,907
2018,11,886
2018,12,1048
2019,1,800
2019,2,805
2019,3,1033
2019,4,841
2019,5,848
2019,6,1032
2019,7,818
2019,8,806
2019,9,1012
2019,10,820
2019,11,824
2019,12,1025
2020,1,819
2020,2,780
2020,3,915
2020,4,669
2020,5,802
2020,6,648
2020,7,654
2020,8,816
2020,9,648
2020,10,641
2020,11,816
2020,12,695
2021,1,903
2021,2,787
2021,3,851
2021,4,841
2021,5,1079
2021,6,883
2021,7,896
2021,8,1124
2021,9,908
2021,10,1219
2021,11,1001
2021,12,978
2022,1,1249
2022,2,1082
2022,3,1370
2022,4,1373
2022,5,1870
2022,6,1545
2022,7,1819
2022,8,1337
2022,9,1340
2022,10,1749
2022,11,1411
2022,12,1264
