,Year,Month,Grocery stores,Warehouse clubs and supercenters,Other FAH,FAH,Full-service restaurants,Limited-service restaurants,Other FAFH,FAFH,Total constant dollar food sales
0,2021,December,"20,665.82","9,849.19","9,568.70","40,083.71","14,643.86","13,742.68","8,494.65","36,881.18","76,964.89"
1,2021,November,"19,412.69","8,815.59","8,833.77","37,062.05","13,498.28","13,207.22","8,325.89","35,031.39","72,093.44"
2,2021,October,"19,607.34","8,362.05","8,310.79","36,280.18","14,704.56","13,941.55","8,607.32","37,253.42","73,533.60"
3,2021,September,"19,057.28","7,662.04","7,913.02","34,632.33","14,000.52","13,509.73","8,426.37","35,936.61","70,568.95"
4,2021,August,"19,639.10","8,395.18","8,201.78","36,236.07","14,824.92","14,359.88","8,501.62","37,686.41","73,922.48"
5,2021,July,"19,860.46","8,288.21","8,123.92","36,272.59","15,671.65","14,904.87","8,264.36","38,840.88","75,113.48"
6,2021,June,"19,302.23","8,123.78","8,244.02","35,670.02","14,872.16","14,384.90","8,001.58","37,258.64","72,928.66"
7,2021,May,"19,900.44","8,398.42","8,270.36","36,569.23","14,921.98","14,529.74","7,830.70","37,282.41","73,851.64"
8,2021,April,"18,686.42","8,006.35","8,187.87","34,880.65","13,280.00","14,160.33","7,356.42","34,796.73","69,677.38"
9,2021,March,"19,143.73","8,739.50","8,235.29","36,118.52","12,654.19","14,031.09","7,156.72","33,842.00","69,960.52"
10,2021,February,"17,537.65","6,777.28","6,871.63","31,186.57","9,583.40","11,107.47","6,219.14","26,910.01","58,096.58"
11,2021,January,"19,325.39","7,596.96","7,178.89","34,101.23","9,545.19","12,256.58","6,341.04","28,142.81","62,244.04"
12,2020,December,"20,202.03","9,325.67","8,293.77","37,821.48","8,852.81","12,329.52","6,706.44","27,888.77","65,710.25"
13,2020,November,"19,353.91","8,387.69","7,341.23","35,082.82","9,060.67","11,781.46","6,592.69","27,434.82","62,517.64"
14,2020,October,"19,211.19","7,927.76","7,427.00","34,565.95","10,509.97","12,959.65","7,033.37","30,502.99","65,068.94"
15,2020,September,"18,630.89","7,315.95","7,132.57","33,079.43","9,975.67","12,480.62","6,831.52","29,287.82","62,367.24"
16,2020,August,"19,247.71","7,887.05","7,229.30","34,364.05","10,340.98","13,103.59","6,854.95","30,299.52","64,663.57"
17,2020,July,"19,973.54","7,733.62","7,331.81","35,038.97","9,650.82","13,223.18","6,612.45","29,486.45","64,525.42"
18,2020,June,"18,929.43","7,471.44","6,982.59","33,383.47","9,053.21","12,643.69","6,086.93","27,783.82","61,167.30"
19,2020,May,"20,414.85","7,822.93","6,884.34","35,122.13","6,234.21","11,676.97","5,483.60","23,394.77","58,516.90"
20,2020,April,"19,479.41","7,172.38","6,176.69","32,828.48","3,670.31","8,819.60","4,751.68","17,241.60","50,070.09"
21,2020,March,"22,963.71","8,507.60","7,172.34","38,643.65","8,636.24","10,747.56","6,871.44","26,255.24","64,898.89"
22,2020,February,"17,225.27","6,959.81","6,633.23","30,818.31","13,318.27","12,084.70","7,688.42","33,091.39","63,909.70"
23,2020,January,"18,229.42","6,974.83","6,832.25","32,036.51","12,911.38","12,136.99","7,821.36","32,869.74","64,906.24"
24,2019,December,"19,302.86","9,495.84","8,084.49","36,883.20","13,343.86","12,587.18","7,960.98","33,892.02","70,775.22"
25,2019,November,"18,755.20","8,492.98","7,245.08","34,493.26","12,290.98","12,340.95","7,883.96","32,515.87","67,009.13"
26,2019,October,"18,349.39","7,707.37","7,197.04","33,253.80","12,556.85","12,933.33","8,233.06","33,723.24","66,977.05"
27,2019,September,"17,729.87","7,205.45","6,820.00","31,755.32","12,177.37","12,523.71","8,093.09","32,794.18","64,549.50"
28,2019,August,"18,991.96","8,107.04","7,244.41","34,343.41","13,463.82","13,684.43","8,481.16","35,629.41","69,972.81"
29,2019,July,"18,818.20","7,731.74","7,184.25","33,734.19","13,207.21","13,634.06","8,286.19","35,127.45","68,861.64"
30,2019,June,"18,299.97","7,757.08","6,982.92","33,039.97","13,321.73","13,451.31","8,304.65","35,077.70","68,117.67"
31,2019,May,"18,859.22","7,899.42","7,300.64","34,059.28","13,689.41","13,616.52","8,416.08","35,722.01","69,781.28"
32,2019,April,"17,780.88","7,416.96","6,904.17","32,102.01","12,594.63","12,944.77","8,014.50","33,553.91","65,655.91"
33,2019,March,"18,149.10","7,712.88","6,794.38","32,656.36","13,369.42","13,437.66","8,024.42","34,831.50","67,487.86"
34,2019,February,"16,332.94","6,645.37","6,134.69","29,112.99","11,756.45","11,329.09","7,202.38","30,287.92","59,400.91"
35,2019,January,"18,347.24","6,927.27","6,482.17","31,756.68","11,789.51","11,487.11","7,234.67","30,511.29","62,267.98"
36,2018,December,"18,987.66","9,509.87","7,707.88","36,205.41","13,215.11","12,510.58","7,980.13","33,705.81","69,911.22"
37,2018,November,"18,178.67","8,380.64","7,175.20","33,734.50","11,745.19","12,188.61","7,809.62","31,743.42","65,477.92"
38,2018,October,"17,907.41","7,591.01","7,005.71","32,504.13","12,223.50","12,731.85","8,121.92","33,077.27","65,581.40"
39,2018,September,"17,505.42","7,240.73","6,604.11","31,350.26","11,974.93","12,274.42","7,988.97","32,238.32","63,588.58"
40,2018,August,"18,167.40","7,844.59","6,984.91","32,996.90","13,176.36","13,333.96","8,379.72","34,890.04","67,886.94"
41,2018,July,"18,081.51","7,588.39","6,818.89","32,488.79","13,077.02","13,332.30","8,249.80","34,659.13","67,147.91"
42,2018,June,"17,912.34","7,689.14","6,816.97","32,418.44","13,250.22","13,138.76","8,293.79","34,682.77","67,101.21"
43,2018,May,"18,499.86","7,652.88","7,085.39","33,238.14","13,332.77","13,097.59","8,363.50","34,793.86","68,032.00"
44,2018,April,"17,033.60","7,028.08","6,509.29","30,570.97","12,484.94","12,203.77","7,954.31","32,643.02","63,213.98"
45,2018,March,"18,329.70","7,786.27","6,861.46","32,977.44","13,289.04","12,760.75","8,068.08","34,117.88","67,095.31"
46,2018,February,"16,255.32","6,761.24","6,073.86","29,090.42","11,519.36","10,898.53","7,294.35","29,712.25","58,802.67"
47,2018,January,"17,480.33","6,760.61","6,372.84","30,613.78","11,482.55","11,057.86","7,264.72","29,805.13","60,418.91"
