date,Net farm value,Wholesale value,Retail value
1/1/2000,68.0,104.6,245.7
2/1/2000,74.1,110.1,251.0
3/1/2000,77.4,112.6,252.8
4/1/2000,88.4,118.6,255.5
5/1/2000,89.4,119.7,256.2
6/1/2000,91.7,122.1,260.3
7/1/2000,90.0,123.1,262.3
8/1/2000,80.8,117.3,265.6
9/1/2000,77.2,111.9,265.0
10/1/2000,76.3,114.3,262.1
11/1/2000,67.0,108.1,259.3
12/1/2000,73.5,111.1,262.5
1/1/2001,68.6,107.9,260.6
2/1/2001,73.7,107.7,261.5
3/1/2001,86.0,117.3,265.4
4/1/2001,87.2,120.5,263.3
5/1/2001,93.0,126.0,266.9
6/1/2001,97.0,128.4,270.9
7/1/2001,95.2,126.2,270.5
8/1/2001,92.6,129.2,276.3
9/1/2001,82.7,123.9,278.1
10/1/2001,73.1,113.5,276.4
11/1/2001,62.9,105.7,271.3
12/1/2001,62.4,105.5,271.4
1/1/2002,71.5,108.4,270.8
2/1/2002,72.4,108.3,271.7
3/1/2002,66.7,104.6,270.3
4/1/2002,58.7,98.2,266.7
5/1/2002,61.8,99.3,269.9
6/1/2002,66.3,102.6,266.6
7/1/2002,72.0,104.0,264.2
8/1/2002,60.1,96.8,266.6
9/1/2002,47.7,91.2,261.6
10/1/2002,56.1,98.1,261.0
11/1/2002,53.0,96.6,259.1
12/1/2002,57.1,99.0,260.6
1/1/2003,60.8,101.9,258.2
2/1/2003,63.0,101.4,262.6
3/1/2003,63.9,102.1,261.8
4/1/2003,64.5,101.9,263.8
5/1/2003,77.4,109.3,258.5
6/1/2003,85.0,120.4,264.4
7/1/2003,79.5,113.1,266.3
8/1/2003,74.0,112.6,270.6
9/1/2003,73.6,117.0,272.6
10/1/2003,67.3,108.1,270.5
11/1/2003,62.7,102.3,272.2
12/1/2003,62.8,101.8,268.0
1/1/2004,68.4,107.9,269.3
2/1/2004,79.4,113.9,269.0
3/1/2004,85.0,118.8,269.6
4/1/2004,85.1,121.5,271.3
5/1/2004,103.3,134.8,276.2
6/1/2004,102.2,136.0,283.0
7/1/2004,102.2,135.8,284.7
8/1/2004,98.3,134.1,288.5
9/1/2004,96.5,133.7,289.8
10/1/2004,93.7,131.7,288.7
11/1/2004,98.2,129.7,281.1
12/1/2004,93.1,128.8,278.7
1/1/2005,94.0,130.9,283.4
2/1/2005,90.1,126.3,284.0
3/1/2005,90.6,126.0,281.2
4/1/2005,89.7,125.5,284.9
5/1/2005,97.4,131.2,289.3
6/1/2005,87.4,122.1,286.0
7/1/2005,87.9,123.3,284.0
8/1/2005,91.0,127.5,282.1
9/1/2005,88.0,126.5,282.6
10/1/2005,83.1,122.5,279.2
11/1/2005,77.6,120.6,277.0
12/1/2005,78.9,117.8,278.6
1/1/2006,72.8,110.0,276.3
2/1/2006,76.2,110.2,279.6
3/1/2006,76.7,115.8,276.3
4/1/2006,73.2,113.4,279.6
5/1/2006,86.7,121.4,276.6
6/1/2006,97.4,132.7,279.9
7/1/2006,91.6,129.2,284.2
8/1/2006,93.7,130.9,285.0
9/1/2006,88.0,127.6,288.2
10/1/2006,83.5,125.0,286.6
11/1/2006,80.7,120.9,279.5
12/1/2006,78.7,119.4,276.8
1/1/2007,77.2,117.2,280.2
2/1/2007,85.4,124.3,279.7
3/1/2007,79.5,119.7,282.5
4/1/2007,84.9,123.7,281.3
5/1/2007,95.3,130.5,287.4
6/1/2007,95.5,130.8,290.9
7/1/2007,90.9,126.9,293.6
8/1/2007,90.2,127.2,293.1
9/1/2007,80.6,120.7,290.6
10/1/2007,72.5,114.6,292.9
11/1/2007,63.7,111.1,286.3
12/1/2007,68.0,110.6,285.9
1/1/2008,63.4,109.2,285.6
2/1/2008,73.4,112.7,282.5
3/1/2008,67.3,110.0,283.3
4/1/2008,77.4,119.4,285.8
5/1/2008,100.0,135.5,290.3
6/1/2008,94.3,134.8,293.3
7/1/2008,96.9,139.9,296.2
8/1/2008,107.8,148.5,301.7
9/1/2008,90.7,134.4,302.6
10/1/2008,81.2,125.3,301.7
11/1/2008,67.6,112.7,300.3
12/1/2008,69.7,114.4,300.5
1/1/2009,72.0,112.8,299.6
2/1/2009,74.0,111.0,296.1
3/1/2009,74.1,111.2,294.2
4/1/2009,74.4,112.1,291.4
5/1/2009,74.9,112.3,295.4
6/1/2009,73.0,109.0,295.4
7/1/2009,74.2,111.4,295.7
8/1/2009,63.2,106.8,293.4
9/1/2009,64.8,106.1,290.6
10/1/2009,65.3,108.0,288.0
11/1/2009,69.3,111.1,281.8
12/1/2009,79.5,122.5,282.0
1/1/2010,86.4,129.0,287.8
2/1/2010,84.9,125.1,291.7
3/1/2010,90.9,130.9,291.4
4/1/2010,99.9,145.3,291.9
5/1/2010,109.9,148.6,304.3
6/1/2010,101.5,143.5,310.4
7/1/2010,101.5,141.7,318.5
8/1/2010,107.4,150.2,323.2
9/1/2010,105.2,149.4,330.0
10/1/2010,90.7,145.4,336.3
11/1/2010,81.5,142.5,332.0
12/1/2010,88.3,142.3,318.8
1/1/2011,96.0,145.6,324.1
2/1/2011,106.5,154.0,328.3
3/1/2011,108.1,156.1,335.7
4/1/2011,117.9,158.8,337.7
5/1/2011,118.3,159.1,348.4
6/1/2011,120.5,158.1,348.1
7/1/2011,123.3,165.6,346.6
8/1/2011,131.1,173.0,351.2
9/1/2011,112.3,165.1,356.1
10/1/2011,117.1,163.5,346.8
11/1/2011,109.1,155.3,351.1
12/1/2011,106.9,152.5,346.1
1/1/2012,107.0,146.9,349.5
2/1/2012,109.9,148.4,349.5
3/1/2012,105.9,144.5,349.0
4/1/2012,101.1,140.6,345.9
5/1/2012,100.1,143.9,340.8
6/1/2012,116.8,155.8,339.7
7/1/2012,120.4,153.8,343.4
8/1/2012,109.2,150.7,352.6
9/1/2012,87.1,141.3,350.7
10/1/2012,101.3,148.1,348.4
11/1/2012,98.4,145.3,347.8
12/1/2012,101.3,145.9,342.7
1/1/2013,105.1,146.8,345.1
2/1/2013,106.2,148.8,349.1
3/1/2013,93.3,139.5,351.7
4/1/2013,99.2,141.2,350.7
5/1/2013,113.9,153.0,355.3
6/1/2013,125.3,167.4,361.7
7/1/2013,125.4,172.5,369.6
